Species	logAv	Class	logLDA	p
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micrococcales.f__Micrococcaceae.g__Psychromicrobium.s__Psychromicrobium_lacuslunae	0	Positive	2.134714856	0.003403761
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Corynebacteriales.f__Nocardiaceae.g__Rhodococcus.s__Rhodococcus_sp__21391	0	Positive	2.066426711	0.042613807
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Peptostreptococcaceae.g__Clostridioides.s__Clostridioides_difficile	4.774496213	Positive	4.440603509	1.55E-06
d__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.s__Campylobacter_armoricus	0	Positive	2.181387292	0.023234948
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Erythrobacteraceae.g__Erythrobacter.s__Erythrobacter_sp__KY5	0	Positive	2.525298532	0.042613807
d__Viruses.k__Orthornavirae.p__Duplornaviricota.c__Resentoviricetes.o__Reovirales.f__Reoviridae.g__Cardoreovirus.s__Eriocheir_sinensis_reovirus	0	Positive	2.196667942	0.021609117
d__Bacteria.p__Tenericutes.c__Mollicutes.o__Entomoplasmatales.f__Spiroplasmataceae.g__Spiroplasma.s__Spiroplasma_turonicum	0	Positive	2.292251217	0.043853172
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Pectobacteriaceae.g__Lonsdalea.s__Lonsdalea_britannica	0	Positive	2.020019835	0.009919224
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Chromobacteriaceae.g__Iodobacter.s__Iodobacter_fluviatilis	0	Positive	2.019475361	0.019131183
d__Bacteria.p__Cyanobacteria.o__Oscillatoriales.f__Microcoleaceae.g__Planktothrix.s__Planktothrix_rubescens	0	Positive	2.350890913	0.042613807
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Clostridium.s__Clostridium_argentinense	2.579144306	Positive	2.290329347	0.018059892
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_pelargi	0	Positive	2.537033857	0.021609117
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Phyllobacteriaceae.g__Mesorhizobium.s__Mesorhizobium_sp__131_2_1	0	Positive	2.332471474	0.035775458
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Mediterraneibacter.s___Ruminococcus__gnavus	4.568077451	Positive	4.142900696	0.008261977
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Variovorax.s__Variovorax_sp__WDL1	0	Positive	2.002066496	0.035775458
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Lacrimispora.s__Lacrimispora_saccharolytica	3.561587855	Positive	3.103509703	0.00100515
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae.g__Vibrio.s__Vibrio_jasicida	0	Positive	2.17900401	0.043853172
d__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Sulfolobales.f__Sulfolobaceae.g__Acidianus.s__Acidianus_sulfidivorans	0	Positive	2.503236174	0.042613807
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Bordetella.s__Bordetella_avium	0	Positive	2.154648113	0.012009091
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Massilia.s__Massilia_lutea	0	Positive	2.189926051	0.036046956
d__Bacteria.p__Cyanobacteria.o__Nostocales.f__Aphanizomenonaceae.g__Anabaenopsis.s__Anabaenopsis_elenkinii	0	Positive	2.049920884	0.042613807
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Anaerostipes.s__Anaerostipes_caccae	3.729775217	Positive	3.333498126	4.08E-05
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Alteromonadaceae.g__Salinimonas.s__Salinimonas_sp__G2_b	0	Positive	2.194510275	0.025491889
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micromonosporales.f__Micromonosporaceae.g__Micromonospora.s__Micromonospora_aurantiaca	0	Positive	2.463335262	0.021609117
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Peptostreptococcaceae.g__Paeniclostridium.s__Paeniclostridium_sordellii	3.706712836	Positive	3.454597706	0.008938489
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Methylococcales.f__Methylococcaceae.g__Methylomonas.s__Methylomonas_sp__EFPC1	0	Positive	2.375572471	0.035775458
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Candidatus_Nanopelagicales.f__Candidatus_Nanopelagicaceae.g__Candidatus_Nanopelagicus.s__Candidatus_Nanopelagicus_hibericus	0	Positive	2.285254395	0.042613807
d__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanoregulaceae.g__Methanosphaerula.s__Methanosphaerula_palustris	0	Positive	2.043099953	0.042613807
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Blastomonas.s__Blastomonas_fulva	0	Positive	2.360594736	0.042613807
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Streptomycetales.f__Streptomycetaceae.g__Streptomyces.s__Streptomyces_collinus	0	Positive	2.356401564	0.04173602
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Polynucleobacter.s__Polynucleobacter_wuianus	0	Positive	2.321014689	0.021609117
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Vallitaleaceae.g__Petrocella.s__Petrocella_atlantisensis	2.665827866	Positive	2.190424194	0.00414995
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Clostridium.s__Clostridium_gasigenes	2.542146825	Positive	2.062044159	0.007589416
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Thiotrichales.f__Francisellaceae.g__Francisella.s__Francisella_adeliensis	0	Positive	2.365090871	0.042613807
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Lachnoclostridium.s___Clostridium__scindens	3.987428276	Positive	3.411224946	0.003474616
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Peptococcaceae.g__Dehalobacter.s__Dehalobacter_sp__DCA	0	Positive	2.111124057	0.021609117
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Bradyrhizobiaceae.g__Bradyrhizobium.s__Bradyrhizobium_sp__BTAi1	0	Positive	2.053841956	0.040355231
d__Bacteria.p__Cyanobacteria.o__Nostocales.f__Nostocaceae.g__Anabaena.s__Anabaena_sp__90	0	Positive	2.218180161	0.042613807
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Rhizobium.s__Rhizobium_phaseoli	0	Positive	2.270789404	0.01689434
d__Archaea.p__Euryarchaeota.c__Halobacteria.o__Haloferacales.f__Halorubraceae.g__Halorubrum.s__Halorubrum_sp__CBA1229	0	Positive	2.107297849	0.042613807
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Acetobacteraceae.g__Neoasaia.s__Neoasaia_chiangmaiensis	0	Positive	2.099951455	0.028530336
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.s__Pseudomonas_antarctica	0	Positive	2.203664771	0.005233553
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Herminiimonas.s__Herminiimonas_arsenitoxidans	0	Positive	2.099380686	0.021609117
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Novosphingobium.s__Novosphingobium_aromaticivorans	0	Positive	2.016873462	0.035775458
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Eubacteriaceae.g__Eubacterium.s__Eubacterium_callanderi	2.630614287	Positive	2.231332249	0.010767172
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Xanthomonas.s__Xanthomonas_vesicatoria	0	Positive	2.019827484	0.043853172
d__Bacteria.p__Chlamydiae.c__Chlamydiia.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.s__Chlamydia_sp__H15_1957_10C	0	Positive	2.52406022	0.048438382
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Rhodovulum.s__Rhodovulum_sp__MB263	0	Positive	2.099286453	0.010774275
d__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Aquimarina.s__Aquimarina_sp__BL5	0	Positive	2.083273029	0.045858467
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Butyrivibrio.s__Butyrivibrio_fibrisolvens	2.995518393	Positive	2.500282164	0.003474616
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Eubacteriaceae.g__Eubacterium.s___Eubacterium__cellulosolvens	3.036086448	Positive	2.365971728	0.01690454
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Corynebacteriales.f__Nocardiaceae.g__Rhodococcus.s__Rhodococcus_imtechensis	0	Positive	2.201919616	0.042613807
d__Bacteria.p__Tenericutes.c__Mollicutes.o__Mycoplasmatales.f__Mycoplasmataceae.g__Mycoplasma.s__Mycoplasma_sp__Mirounga_ES2806_GEN	0	Positive	2.361657154	0.021609117
d__Bacteria.p__Tenericutes.c__Mollicutes.o__Mycoplasmatales.f__Mycoplasmataceae.g__Mycoplasmopsis.s__Mycoplasma_bovigenitalium	0	Positive	2.084600862	0.015326861
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.s__Pseudomonas_oleovorans	0	Positive	2.521697746	0.042613807
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micromonosporales.f__Micromonosporaceae.g__Micromonospora.s__Micromonospora_siamensis	0	Positive	2.143477595	0.009280693
d__Bacteria.p__Cyanobacteria.o__Synechococcales.f__Synechococcaceae.g__Cyanobium.s__Cyanobium_gracile	0	Positive	2.198248542	0.008393041
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Clostridiaceae.g__Clostridium.s__Clostridium_sp__SY8519	3.447929421	Positive	3.063567958	0.000185686
d__Bacteria.p__Chlamydiae.c__Chlamydiia.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.s__Chlamydia_muridarum	0	Positive	2.241731497	0.042613807
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_hominis	3.474853119	Positive	2.833087631	0.03508078
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Neisseria.s__Neisseria_zalophi	0	Positive	2.363446206	0.007719185
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Ectothiorhodospiraceae.g__Spiribacter.s__Spiribacter_curvatus	0	Positive	2.511096684	0.005233553
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Caulobacteraceae.g__Caulobacter.s__Caulobacter_sp__Ji_3_8	0	Positive	2.31480656	0.021609117
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Blautia.s__Blautia_argi	3.910121968	Positive	3.492205802	0.000359179
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Rickettsiaceae.g__Rickettsia.s__Rickettsia_typhi	0	Positive	2.506803057	0.042613807
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micrococcales.f__Microbacteriaceae.g__Agromyces.s__Agromyces_sp__HY052	0	Positive	2.081965276	0.021609117
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micrococcales.f__Micrococcaceae.g__Pseudarthrobacter.s__Pseudarthrobacter_sp__YJ56	0	Positive	2.349504306	0.04746539
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Microbulbiferaceae.g__Microbulbifer.s__Microbulbifer_agarilyticus	0	Positive	2.050754462	0.035775458
d__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.s__Campylobacter_insulaenigrae	0	Positive	2.161870906	0.021609117
d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Lachnospiraceae.g__Herbinix.s__Herbinix_luporum	2.785414696	Positive	2.126707292	0.003173683
d__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Bacillus.s__Bacillus_sp__MD_5	0	Positive	2.093162413	0.042613807
d__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium.s__Fusobacterium_mortiferum	3.134489781	Positive	2.767989626	0.028126038
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Stenotrophomonas.s__Stenotrophomonas_sp__SAU14A_NAIMI4_5	0	Positive	2.324169027	0.021609117
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Lysobacter.s__Lysobacter_maris	0	Positive	2.018839159	0.040080928
d__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Corynebacteriales.f__Mycobacteriaceae.g__Mycobacteroides.s__Mycobacteroides_saopaulense	0	Positive	2.074722709	0.035775458
d__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.s__Campylobacter_jejuni	2.449430449	Positive	2.192491286	0.002407818
d__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Burkholderia.s__Burkholderia_metallica	0	Positive	2.248683961	0.042613807
